resource_id,title,provider,topic,skills,difficulty_level,duration_hours,format,prerequisites,cost,popularity_score,quality_score,data_analyst_relevance,ml_engineer_relevance,software_developer_relevance,data_scientist_relevance,description
R001,SQL for Data Analysis,Coursera,sql,sql;data_cleaning,1,6,course,,paid,0.86,0.88,3,1,1,2,Beginner SQL course covering SELECT JOIN aggregation and analytical queries for data roles.
R002,Intermediate SQL Queries,DataCamp,sql,sql;databases;data_cleaning,2,5,course,sql,paid,0.78,0.84,3,1,2,2,Practice-focused SQL resource for joins subqueries window functions and database querying.
R003,Excel Skills for Business,Coursera,excel,excel;dashboards;data_cleaning,1,8,course,,paid,0.82,0.86,3,0,0,1,Spreadsheet skills for cleaning analysing and summarising business data.
R004,Data Visualisation with Tableau,edX,data_visualisation,data_visualisation;dashboards,1,5,course,,paid,0.74,0.82,3,0,0,2,Introductory dashboarding and data visualisation with Tableau.
R005,Python Basics for Everybody,freeCodeCamp,python,python;programming,1,7,tutorial,,free,0.92,0.83,2,2,2,3,Beginner programming tutorial introducing Python syntax functions and basic problem solving.
R006,Pandas Data Cleaning Tutorial,YouTube,data_cleaning,python;data_cleaning;data_visualisation,2,3,video,python,free,0.79,0.80,3,2,1,3,Hands-on walkthrough for cleaning tabular data with pandas and simple plots.
R007,Statistics for Data Analytics,Khan Academy,statistics,statistics,1,6,course,,free,0.76,0.81,3,2,1,3,Core descriptive statistics probability sampling and interpretation for analytics.
R008,Applied Machine Learning in Python,Coursera,machine_learning,python;machine_learning;model_evaluation,2,12,course,python;statistics,paid,0.88,0.89,1,3,0,3,Supervised learning workflows with model training validation and evaluation in Python.
R009,Machine Learning Model Evaluation,DataCamp,model_evaluation,machine_learning;model_evaluation;statistics,2,4,course,machine_learning,paid,0.71,0.84,1,3,1,3,Focused resource on validation metrics cross-validation and model selection.
R010,Deep Learning Fundamentals,edX,machine_learning,python;machine_learning,3,15,course,python;machine_learning,paid,0.69,0.82,0,3,0,3,Advanced introduction to neural networks and deep learning concepts.
R011,Deploying Machine Learning APIs,Udemy,deployment,python;deployment;apis;machine_learning,3,8,course,python;machine_learning;apis,paid,0.66,0.80,0,3,2,2,Build and deploy machine learning prediction services with REST APIs.
R012,Git and GitHub Crash Course,freeCodeCamp,version_control,version_control,1,2,video,,free,0.91,0.79,1,2,3,2,Practical version control workflow using Git commits branches and GitHub.
R013,Object-Oriented Programming in Java,Coursera,oop,programming;oop,2,10,course,programming,paid,0.73,0.84,0,1,3,0,Programming course covering classes inheritance encapsulation and object-oriented design.
R014,REST API Development with Flask,YouTube,apis,python;apis;deployment;programming,2,4,tutorial,python,free,0.77,0.78,0,2,3,1,Build REST endpoints and simple backend services using Flask.
R015,Database Design and SQL,edX,databases,sql;databases,2,9,course,sql,paid,0.72,0.85,2,1,3,2,Relational modelling normalisation database design and SQL implementation.
R016,Software Testing Fundamentals,Udacity,testing,testing;programming,1,5,course,programming,free,0.67,0.80,0,1,3,1,Testing concepts test cases unit tests and software quality practices.
R017,Python for Data Visualisation,DataCamp,data_visualisation,python;data_visualisation;dashboards,2,4,course,python,paid,0.75,0.83,3,2,0,2,Use Python libraries to create charts dashboards and exploratory data visualisations.
R018,Data Analyst Career Track,DataCamp,career_path,sql;python;statistics;data_visualisation;dashboards;data_cleaning,2,40,career_track,,paid,0.84,0.87,3,1,0,2,Structured data analyst pathway covering SQL Python statistics visualisation and projects.
R019,Machine Learning Engineer Career Track,DataCamp,career_path,python;machine_learning;model_evaluation;deployment;apis,3,45,career_track,python;statistics,paid,0.80,0.86,0,3,1,2,Structured pathway for ML engineering from modelling to deployment.
R020,Full Stack Developer Curriculum,freeCodeCamp,career_path,programming;apis;databases;testing;version_control,2,60,career_track,,free,0.89,0.84,0,1,3,0,Project-based software development curriculum covering frontend backend APIs databases and testing.
R021,Intro to Data Cleaning with OpenRefine,University Open Course,data_cleaning,data_cleaning,1,3,course,,free,0.53,0.76,3,1,0,3,Short open course on cleaning messy datasets and preparing data for analysis.
R022,Python Project Build a CLI App,YouTube,programming,python;programming;version_control,1,3,project,python,free,0.62,0.77,1,1,3,1,Beginner project applying Python programming and Git workflow to build a command-line tool.
R023,Practical Feature Engineering,Kaggle Learn,machine_learning,python;data_cleaning;machine_learning;model_evaluation,2,4,tutorial,python;statistics,free,0.70,0.82,1,3,0,3,Hands-on feature engineering for improving machine learning model performance.
R024,Dashboard Design Principles,University Open Course,dashboards,data_visualisation;dashboards,1,2,course,,free,0.58,0.78,3,0,0,1,Design principles for readable dashboards charts and analytical communication.
R025,Google Data Analytics Foundations,Coursera,data_analytics,excel;sql;data_visualisation;data_cleaning,1,10,course,,paid,0.90,0.85,3,0,0,2,Foundation course for data analysis process spreadsheets SQL and visual communication.
R026,IBM Data Analyst Capstone,Coursera,data_analytics,python;sql;excel;data_visualisation;dashboards,2,12,project,python;sql,paid,0.79,0.86,3,1,0,2,Capstone-style data analyst project applying Python SQL spreadsheets and dashboards.
R027,SQL Joins and Aggregations,DataCamp,sql,sql;databases,1,3,course,sql,paid,0.80,0.82,3,1,2,2,Focused practice on SQL joins grouping filtering and aggregation.
R028,Power BI Dashboard Basics,DataCamp,dashboards,dashboards;data_visualisation;data_cleaning,1,5,course,,paid,0.77,0.82,3,0,0,1,Beginner dashboarding resource using Power BI for business reporting.
R029,Exploratory Data Analysis in Python,Kaggle Learn,data_analysis,python;statistics;data_visualisation;data_cleaning,2,4,tutorial,python,free,0.83,0.84,3,2,0,3,Exploratory analysis workflow using Python summaries visualisations and data cleaning.
R030,Introduction to NumPy,DataCamp,python,python;programming,1,4,course,python,paid,0.74,0.80,2,2,1,3,Numerical Python basics for arrays vectorised operations and analytical computing.
R031,Business Statistics and A B Testing,edX,statistics,statistics;data_visualisation,2,8,course,statistics,paid,0.65,0.81,3,2,0,3,Applied statistics hypothesis testing and experiment interpretation for business decisions.
R032,Data Storytelling with Visuals,Coursera,data_visualisation,data_visualisation;dashboards,1,4,course,,paid,0.70,0.80,3,0,0,2,Communicating insights using charts dashboards and structured data narratives.
R033,Data Cleaning in SQL and Python,University Open Course,data_cleaning,sql;python;data_cleaning,2,6,course,python;sql,free,0.61,0.79,3,2,1,3,Cleaning tabular data with SQL transformations and Python preprocessing scripts.
R034,Relational Databases for Beginners,freeCodeCamp,databases,sql;databases,1,8,tutorial,,free,0.87,0.80,2,1,3,2,Build database knowledge through relational modelling SQL tables and queries.
R035,Python Data Science Handbook,University Open Course,python,python;statistics;data_visualisation;machine_learning,2,14,course,python,free,0.82,0.86,2,3,0,3,Broad Python data science material covering analysis visualisation and modelling.
R036,Supervised Learning with Scikit Learn,DataCamp,machine_learning,python;machine_learning;model_evaluation,2,5,course,python;statistics,paid,0.81,0.86,1,3,0,3,Train and evaluate supervised models using common Python machine learning workflows.
R037,Unsupervised Learning in Python,DataCamp,machine_learning,python;machine_learning;model_evaluation,2,4,course,python;statistics,paid,0.69,0.82,0,3,0,3,Clustering dimensionality reduction and unsupervised pattern discovery in Python.
R038,Machine Learning Pipelines,Coursera,machine_learning,python;machine_learning;model_evaluation;deployment,3,9,course,python;machine_learning,paid,0.72,0.85,0,3,1,3,Pipeline design for preprocessing training evaluation and deployment readiness.
R039,MLOps Fundamentals,DataCamp,deployment,python;deployment;machine_learning;model_evaluation;version_control,3,7,course,python;machine_learning,paid,0.76,0.84,0,3,1,2,Operational machine learning concepts including model lifecycle tracking and monitoring.
R040,Docker for Machine Learning,YouTube,deployment,deployment;machine_learning;apis,3,4,video,python;machine_learning,free,0.60,0.76,0,3,2,2,Containerise machine learning applications for reproducible deployment.
R041,MLflow Experiment Tracking,DataCamp,model_evaluation,python;machine_learning;model_evaluation;deployment,3,5,course,machine_learning,paid,0.64,0.81,0,3,0,3,Track experiments parameters metrics and model artifacts for ML workflows.
R042,Model Monitoring and Drift,University Open Course,model_evaluation,machine_learning;model_evaluation;deployment,3,5,course,machine_learning,free,0.55,0.78,0,3,0,3,Monitor deployed models and detect performance changes and data drift.
R043,Flask for Model Serving,Coursera,deployment,python;apis;deployment;machine_learning,2,6,course,python,paid,0.67,0.80,0,3,3,2,Build Python web services for model serving and simple API integration.
R044,Feature Selection and Validation,Kaggle Learn,model_evaluation,python;machine_learning;model_evaluation;statistics,2,3,tutorial,python;statistics,free,0.71,0.81,1,3,0,3,Improve ML models through validation feature selection and performance comparison.
R045,Deep Learning with PyTorch,edX,machine_learning,python;machine_learning,3,14,course,python;machine_learning,paid,0.74,0.84,0,3,0,3,Neural network implementation and deep learning workflows using PyTorch.
R046,Python Software Development,DataCamp,programming,python;programming;oop;testing,2,6,course,python,paid,0.70,0.82,0,1,3,1,Develop maintainable Python programs using functions classes and testing practices.
R047,JavaScript Algorithms and Data Structures,freeCodeCamp,programming,programming;testing,1,30,career_track,,free,0.88,0.82,0,0,3,0,Core programming and algorithm practice for software development foundations.
R048,Back End Development and APIs,freeCodeCamp,apis,programming;apis;testing;databases,2,25,career_track,programming,free,0.86,0.83,0,1,3,0,Backend curriculum covering APIs microservices databases and quality assurance.
R049,Meta Back End Developer Foundations,Coursera,programming,programming;apis;databases;version_control,2,20,course,programming,paid,0.82,0.85,0,1,3,0,Backend developer pathway topics including version control APIs databases and server development.
R050,Django Web Framework,Coursera,apis,python;apis;databases;programming,2,8,course,python,paid,0.73,0.82,0,1,3,1,Web development course building server-side applications with Django and databases.
R051,API Testing with Postman,Udemy,testing,apis;testing,2,4,course,apis,paid,0.63,0.78,0,1,3,0,Test REST APIs with request collections validation and debugging workflows.
R052,Unit Testing in Python,University Open Course,testing,python;testing;programming,1,4,course,python,free,0.59,0.79,0,1,3,1,Write unit tests assertions and testable Python code for software quality.
R053,Git Branching and Collaboration,Atlassian,version_control,version_control;testing,2,3,tutorial,version_control,free,0.72,0.80,1,2,3,2,Team workflow with branches pull requests code review and release coordination.
R054,Object Oriented Design Patterns,Coursera,oop,oop;programming;testing,3,9,course,oop,paid,0.66,0.82,0,1,3,0,Reusable object-oriented design patterns and software design principles.
R055,Database Clients and ORM Basics,Coursera,databases,databases;sql;apis;programming,2,6,course,sql;programming,paid,0.62,0.80,1,1,3,1,Access relational databases from applications using clients ORM concepts and queries.
R056,Software Engineering Principles,edX,programming,programming;testing;version_control;oop,2,10,course,programming,paid,0.69,0.83,0,1,3,1,Software engineering practices for design maintainability testing and collaboration.
R057,Build a REST API Project,YouTube,apis,apis;programming;testing;databases,2,5,project,programming,free,0.65,0.78,0,1,3,0,Project-based backend API with routes validation persistence and tests.
R058,Introduction to Cloud Deployment,Coursera,deployment,deployment;apis;version_control,2,7,course,programming,paid,0.61,0.79,0,2,2,2,Deploy simple applications using cloud workflows version control and service configuration.
R059,Capstone Software Developer Portfolio,freeCodeCamp,career_path,programming;apis;databases;testing;version_control;oop,3,20,project,programming;apis;databases,free,0.76,0.84,0,1,3,0,Portfolio project combining backend APIs databases testing version control and deployment.
R060,Applied Recommender Systems,Coursera,recommender_systems,python;machine_learning;model_evaluation,3,8,course,python;machine_learning,paid,0.64,0.82,1,3,0,3,Implement and evaluate similarity-based and model-based recommender systems.
R061,DataCamp Module SQL Filtering and Sorting,DataCamp,sql,sql,1,2,module,sql,paid,0.76,0.82,3,1,2,2,Short module from a data analyst style path focused on filtering sorting and retrieving SQL data.
R062,DataCamp Module SQL Joins for Analysis,DataCamp,sql,sql;databases,2,2,module,sql,paid,0.74,0.83,3,1,2,2,Targeted SQL module covering joins used in analytical workflows.
R063,DataCamp Module Cleaning Data with pandas,DataCamp,data_cleaning,python;data_cleaning,2,3,module,python,paid,0.73,0.82,3,2,1,3,Focused module for cleaning missing values duplicates and inconsistent tabular data with pandas.
R064,DataCamp Module Tableau Dashboard Layouts,DataCamp,dashboards,data_visualisation;dashboards,1,2,module,,paid,0.69,0.80,3,0,0,1,Targeted dashboard module for creating readable Tableau dashboard layouts.
R065,DataCamp Module Statistical Thinking,DataCamp,statistics,statistics,1,3,module,,paid,0.70,0.82,3,2,0,3,Short statistics module covering distributions uncertainty and analytical reasoning.
R066,DataCamp Module Supervised Learning Basics,DataCamp,machine_learning,python;machine_learning;model_evaluation,2,3,module,python;statistics,paid,0.77,0.84,1,3,0,3,Targeted module for supervised learning workflow and basic model evaluation.
R067,DataCamp Module Model Validation,DataCamp,model_evaluation,machine_learning;model_evaluation;statistics,2,2,module,machine_learning,paid,0.72,0.83,1,3,0,3,Focused validation module covering train test splits cross-validation and evaluation metrics.
R068,DataCamp Module Intro to MLOps,DataCamp,deployment,deployment;machine_learning;model_evaluation,3,3,module,machine_learning,paid,0.68,0.82,0,3,1,2,Short module introducing MLOps model lifecycle tracking and deployment considerations.
R069,DataCamp Module ML API Deployment,DataCamp,deployment,python;deployment;apis;machine_learning,3,3,module,python;machine_learning;apis,paid,0.66,0.81,0,3,2,2,Targeted module for deploying a trained machine learning model behind an API.
R070,freeCodeCamp Module Git Basics,freeCodeCamp,version_control,version_control,1,2,module,,free,0.84,0.80,1,2,3,2,Specific version control module covering commits branches and repository workflow.
R071,freeCodeCamp Module API Routes,freeCodeCamp,apis,programming;apis,2,3,module,programming,free,0.80,0.81,0,1,3,0,Focused backend module for creating API routes and request handlers.
R072,freeCodeCamp Module Database Projects,freeCodeCamp,databases,databases;sql;programming,2,4,module,programming;sql,free,0.78,0.82,1,1,3,1,Specific module applying relational databases in backend projects.
R073,freeCodeCamp Module Quality Assurance Testing,freeCodeCamp,testing,testing;programming;apis,2,3,module,programming,free,0.75,0.80,0,1,3,0,Focused testing module for backend quality assurance and API tests.
R074,freeCodeCamp Module Object Oriented JavaScript,freeCodeCamp,oop,programming;oop,2,3,module,programming,free,0.76,0.81,0,1,3,0,Targeted object-oriented programming module for software developer foundations.
R075,DataCamp Module Data Analyst Case Study,DataCamp,data_analysis,sql;python;data_visualisation;data_cleaning,2,4,module,sql;python,paid,0.71,0.84,3,1,0,3,Short case-study module applying SQL Python cleaning and visualisation to an analyst task.
R076,SQL Tutorial Full Database Course for Beginners,freeCodeCamp,sql,sql;databases,1,4,youtube,,free,0.88,0.80,3,1,2,2,Optional long-form YouTube explanation for learners who want a beginner-friendly SQL walkthrough.
R077,What is SQL and How Is It Used,IBM SkillsBuild,sql,sql;databases,1,1,article,,free,0.63,0.78,3,1,2,2,Optional reading that explains what SQL is and why it matters for data and software roles.
R078,Storytelling with Data Blog Articles,Storytelling with Data,data_visualisation,data_visualisation;dashboards,1,1,reading,,free,0.66,0.82,3,0,0,2,Optional reading series for understanding how to communicate insights clearly with charts.
R079,The Art of Data Visualization,YouTube,data_visualisation,data_visualisation;dashboards,1,1,video_essay,,free,0.64,0.78,3,0,0,2,Optional visual explainer about why chart design and narrative matter in analytics.
R080,StatQuest Cross Validation Clearly Explained,StatQuest,model_evaluation,statistics;model_evaluation;machine_learning,2,1,youtube,statistics,free,0.82,0.86,1,3,0,3,Optional intuitive explanation of cross-validation and why model evaluation matters.
R081,StatQuest Precision Recall and ROC Curves,StatQuest,model_evaluation,statistics;model_evaluation;machine_learning,2,1,youtube,statistics,free,0.80,0.86,1,3,0,3,Optional explainer for classification metrics and model comparison concepts.
R082,But What Is a Neural Network,3Blue1Brown,machine_learning,machine_learning,2,1,video_essay,,free,0.86,0.88,0,3,0,3,Optional visual video essay explaining neural networks intuitively.
R083,Gradient Descent How Neural Networks Learn,3Blue1Brown,machine_learning,machine_learning;statistics,2,1,video_essay,machine_learning,free,0.84,0.88,0,3,0,3,Optional visual explanation of gradient descent and learning in neural networks.
R084,What is an API,IBM SkillsBuild,apis,apis;programming,1,1,article,,free,0.62,0.78,0,1,3,1,Optional reading explaining APIs and how applications communicate.
R085,REST API Concepts Explained,freeCodeCamp,apis,apis;programming,1,1,youtube,,free,0.75,0.80,0,1,3,1,Optional YouTube explanation of REST API concepts and backend request flow.
R086,Git Explained in 100 Seconds,Fireship,version_control,version_control,1,0.5,youtube,,free,0.79,0.80,1,1,3,2,Optional short explainer for understanding Git concepts quickly.
R087,Docker Explained Visually,Fireship,deployment,deployment;apis,2,0.5,youtube,,free,0.74,0.80,0,3,2,2,Optional short explanation of containers and why deployment uses Docker.
R088,What is MLOps,Google Cloud,deployment,deployment;machine_learning;model_evaluation,2,1,article,machine_learning,free,0.68,0.82,0,3,1,2,Optional reading that explains the ML lifecycle and operational machine learning.
R089,How Databases Work,Computerphile,databases,databases;sql,1,1,video_essay,,free,0.70,0.80,1,0,3,2,Optional conceptual video about databases and how data is stored and queried.
R090,Testing Explained for Beginners,freeCodeCamp,testing,testing;programming,1,1,youtube,programming,free,0.72,0.80,0,1,3,0,Optional tutorial-style explanation of why testing matters in software development.
R091,Mini Project Analyse Sales Data with SQL,Coursera,project,sql;data_cleaning;statistics,1,3,project,sql,paid,0.70,0.83,3,1,0,2,Small analyst project using SQL to clean summarize and interpret sales data.
R092,Mini Project Build an Interactive Dashboard,DataCamp,project,data_visualisation;dashboards;data_cleaning,1,3,project,data_visualisation,paid,0.69,0.82,3,0,0,1,Small dashboard project for turning cleaned data into a simple business report.
R093,Mini Project Customer Churn Model,Kaggle Learn,project,python;machine_learning;model_evaluation;data_cleaning,2,4,project,python;machine_learning,free,0.72,0.84,1,3,0,3,Practical ML project training and evaluating a churn prediction model.
R094,Mini Project Deploy a Prediction API,Coursera,project,python;machine_learning;deployment;apis,3,4,project,python;machine_learning;apis,paid,0.66,0.82,0,3,2,2,Small ML engineering project serving a trained model through an API.
R095,Mini Project Build a Tested REST API,freeCodeCamp,project,apis;databases;testing;programming,2,4,project,programming;apis,free,0.74,0.83,0,1,3,0,Software developer project building a REST API with persistence and basic tests.
R096,Mini Project Version-Controlled CLI Tool,YouTube,project,python;programming;version_control;testing,1,3,project,python,free,0.68,0.80,1,1,3,1,Small project building a command-line tool with Git workflow and simple tests.
